Field name,Yes / No,New Name
StartDate,Yes,
EndDate,,
Status,,
IPAddress,,
Progress,,
Duration__in_seconds_,,
Finished,,
RecordedDate,,
ResponseId,,
RecipientLastName,,
RecipientFirstName,,
RecipientEmail,,
ExternalReference,,
LocationLatitude,,
LocationLongitude,,
DistributionChannel,,
UserLanguage,,
Q1,,
Q2,,
Q3,,
Q3_1_TEXT,,
Q3_2_TEXT,,
Q3_3_TEXT,,
Q3_4_TEXT,,
Q4,,
Q5,,
Q5_1_TEXT,,
Q5_2_TEXT,,
Q5_3_TEXT,,
Q5_4_TEXT,,
Q6,,
Q7_1,,
Q7_2,,
Q7_3,,
Q7_4,,
Q7_5,,
Q7_6,,
Q7_7,,
Q7_8,,
Q7_9,,
Q7_10,,
Q7_11,,
Q8_1,,
Q8_2,,
Q8_3,,
Q9,,
Q9_1_TEXT,,
Q9_2_TEXT,,
Q10,,
Q10_1_TEXT,,
Q10_2_TEXT,,
Q10_3_TEXT,,
Q10_4_TEXT,,
Q10_5_TEXT,,
Q11,,
Q11_1_TEXT,,
Q12_1,,
Q12_2,,
Q12_1_TEXT,,
Q12_2_TEXT,,
Q13,,
Q13_1_TEXT,,
Q13_2_TEXT,,
Q13_3_TEXT,,
Q13_4_TEXT,,
Q13_5_TEXT,,
Q14_1,,
Q14_2,,
Q14_3,,
Q14_4,,
Q14_5,,
Q14_6,,
Q14_7,,
Q14_8,,
Q14_9,,
Q14_10,,
Q14_11,,
Q14_12,,
Q14_13,,
Q14_14,,
Q14_15,,
Q14_16,,
Q14_17,,
Q14_18,,
Q15,,
Q16,,
Q17,,
Q18,,
Q19,,
Q20,,
Q21,,
Q22,,
Q23,,
Q24,,
Q25,,
Q26,,
Q27,,
Q28,,
